"","Stud_ID","PROJ_TOTAL","Proj01","Proj02","Proj03","Proj04","Proj05","Proj06","Proj07","Proj08","Proj09","Proj10","Proj11","Total_Pts","Exam1","Exam2","Exam3","Prob_solve_pre","Prob_solve_post","extraversion","agreeableness","conscient.","stability","openness","Metacog.","SelfEfficacy","IntGoalOrient","ExtGoalOrient"
"213","6abb0ea44",394,15,20,0,9,43,45,50,50,55,52,55,721,52,80,95,11,8.16666666666667,29,61,61,56,54,60,56,25,22
"214","ac844f67b",444,15,20,18,40,42,45,50,50,55,54,55,871,72,130,128,13,0,58,55,46,55,58,53,56,23,18
"215","d4dc3c390",420,15,20,19,40,45,45,50,50,55,26,55,761,36,85,120,6,13.5,21,52,52,34,38,42,47,25,28
"216","3cc95498d",428,15,18,16,28,45,45,50,50,55,53,53,844,52,115,150,9.66666666666667,10.3333333333333,40,53,56,54,49,45,46,20,25
"217","9e107fbfd",428,15,20,19,36,41,41,50,50,55,48,53,753,60,105,85,16.5,15,24,31,43,56,49,50,49,23,27
"218","4f594a408",450,15,20,20,40,45,45,50,50,55,55,55,964,84,150,180,16.3333333333333,12,52,49,61,61,53,43,37,18,22
"219","3558ff994",444,15,20,19,36,45,45,49,50,55,55,55,879,56,120,160,10.3333333333333,10,42,56,45,47,49,48,48,23,19
"220","2468c726d",444,15,20,15,40,45,45,50,50,55,54,55,934,80,145,165,11,17,42,57,59,38,52,67,54,27,27
"221","7365133b9",358,15,20,17,40,41,41,50,49,55,0,30,527,32,40,0,7.66666666666667,6,39,39,42,40,44,64,49,28,26
"222","9b417dc0b",408,15,20,20,40,21,35,49,50,55,53,50,814,76,105,125,2.16666666666667,2,32,51,41,50,42,28,36,11,25
"223","a3d70f90c",396,15,20,20,40,10,45,48,43,55,45,55,828,88,115,130,17,6,33,55,54,34,67,55,46,23,26
"224","d71e487e5",398,14,4,13,36,42,44,42,48,55,45,55,764,64,105,100,12.6666666666667,13,52,49,29,42,45,46,22,11,22
"225","dc6bf99f9",299,12,8,0,16,7,13,41,44,52,51,55,760,76,130,155,0,12.5,42,50,38,30,52,NA,NA,NA,NA
"226","ecc7780d6",343,0,18,0,40,45,44,0,46,46,49,55,798,76,115,165,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","d00fdcc75",231,13,6,9,5,12,0,13,13,51,54,55,566,40,90,105,8,11,45,43,41,33,44,51,56,28,25
